Measure Mode: wall_time
Thread ID: 70182274022360
Fiber ID: 70182274913120
Total: 13.829077
Sort by: self_time

 %self      total      self      wait     child     calls  name
 40.01      5.533     5.533     0.000     0.000   480400   IO#write
  4.69     11.217     0.649     0.000    10.568   260427  *Array#each
  4.11      0.568     0.568     0.000     0.000   480400   Integer#chr
  4.08      1.349     0.564     0.000     0.785   480000   TeensyVSender#coordinate_format
  3.65      0.504     0.504     0.000     0.000  1680048   Array#[]
  3.47      9.124     0.479     0.000     8.644   120000   Sender#send_line
  2.78      0.859     0.384     0.000     0.475   240000   Point#screen_safe?
  2.12      0.293     0.293     0.000     0.000   480000   Point#initialize
  2.03      0.281     0.281     0.000     0.000   480000   TeensyVSender#output_message
  1.82      0.778     0.251     0.000     0.526    80000   Point#project
  1.79      1.350     0.248     0.000     1.102   490084  *Class#new
  1.67      0.231     0.231     0.000     0.000   970148   Hash#[]
  1.59      2.369     0.220     0.000     2.150    50001   Array#map
  1.58      0.218     0.218     0.000     0.000   480000   Float#to_i
  1.47      0.203     0.203     0.000     0.000   560200   Float#+
  1.32      0.183     0.183     0.000     0.000   490085   <Class::BasicObject>#allocate
  1.25      0.173     0.173     0.000     0.000   560000   Fixnum#*
  1.10      0.573     0.152     0.000     0.421    80000   Point#rotate_y
  0.75      0.104     0.104     0.000     0.000   480025   BasicObject#!
  0.75      0.353     0.103     0.000     0.250    80000   Point#translate
  0.74      0.317     0.102     0.000     0.216    80000   Point#scale
  0.72      0.099     0.099     0.000     0.000   480000   Float#<
  0.69      0.096     0.096     0.000     0.000   480000   Float#>
  0.56      0.078     0.078     0.000     0.000   360012   Fixnum#==
  0.44      0.061     0.061     0.000     0.000   160000   Math#sin
  0.44      0.061     0.061     0.000     0.000   160000   Math#cos
  0.42      0.058     0.058     0.000     0.000   240073   Array#<<
  0.39      0.054     0.054     0.000     0.000   160000   Float#/
  0.38      0.053     0.053     0.000     0.000   160000   Float#*
  0.37      0.051     0.051     0.000     0.000   240024   Struct::Geometry#points
  0.34      0.047     0.047     0.000     0.000   160000   Float#-
  0.32      0.044     0.044     0.000     0.000    10001   Array#+
  0.31      0.066     0.043     0.000     0.024   120012   BasicObject#!=
  0.17      0.024     0.024     0.000     0.000   120212   Array#length
  0.13      0.018     0.018     0.000     0.000    80000   Fixnum#-
  0.13      0.018     0.018     0.000     0.000    80001   Fixnum#+
  0.11      0.707     0.016     0.000     0.692    10000   Glyph#initialize
  0.09      0.371     0.012     0.000     0.359    10000   Glyph#scale
  0.09      0.408     0.012     0.000     0.396    10000   Glyph#translate
  0.07      0.293     0.009     0.000     0.284    10000   Glyph#instructions
  0.07      0.628     0.009     0.000     0.619    10000   Glyph#rotate_y
  0.06      0.731     0.008     0.000     0.723    10000   <Class::Glyph>#new_from_model
  0.05      0.007     0.007     0.000     0.000    20000   Struct#[]
  0.05      0.835     0.007     0.000     0.828    10000   Glyph#project
  0.05      0.517     0.007     0.000     0.510    10001   Struct::Geometry#valid?
  0.03      0.004     0.004     0.000     0.000    10000   <Module::Ivan>#default_focal_length
  0.02      0.003     0.003     0.000     0.000    10001   Struct::Geometry#lines
  0.02      0.020     0.002     0.000     0.018      200   TeensyVSender#transmit_instruction_length
  0.01      0.002     0.001     0.000     0.001        1   Psych::Parser#parse
  0.01      9.359     0.001     0.000     9.358      201   Enumerable#each_slice
  0.01     13.792     0.001     0.000    13.791      201  *Integer#times
  0.01     10.446     0.001     0.000    10.445      200   Sender#send_buffer
  0.01      0.030     0.001     0.000     0.029       46  *Kernel#require
  0.01      0.001     0.001     0.000     0.000      400   Integer#to_i
  0.01      0.001     0.001     0.000     0.000      508   Regexp#===
  0.00      0.001     0.001     0.000     0.000        1   <Class::SerialPort>#create
  0.00      0.032     0.000     0.000     0.032        7  *Kernel#require_relative
  0.00      0.021     0.000     0.000     0.020      200   TeensyVSender#pre_send_buffer
  0.00      0.000     0.000     0.000     0.000       92   IO#set_encoding
  0.00      0.001     0.000     0.000     0.001       50   Psych::ScalarScanner#tokenize
  0.00      1.067     0.000     0.000     1.067      200   Sender#check_safe
  0.00      0.000     0.000     0.000     0.000      400   Fixnum#&
  0.00      0.000     0.000     0.000     0.000      511   Module#method_added
  0.00      0.000     0.000     0.000     0.000      200   Fixnum#/
  0.00      0.000     0.000     0.000     0.000       52   String#gsub
  0.00      0.000     0.000     0.000     0.000       50   Psych::Nodes::Scalar#initialize
  0.00      0.000     0.000     0.000     0.000        3   Module#class_eval
  0.00      0.000     0.000     0.000     0.000       28   Module#attr_accessor
  0.00      0.000     0.000     0.000     0.000        1   SerialPort#set_modem_params
  0.00      0.001     0.000     0.000     0.001       50   Psych::Visitors::ToRuby#deserialize
  0.00      0.000     0.000     0.000     0.000      200   Fixnum#>>
  0.00      0.000     0.000     0.000     0.000       50   Psych::TreeBuilder#scalar
  0.00      0.001     0.000     0.000     0.001       50   Psych::Visitors::ToRuby#visit_Psych_Nodes_Scalar
  0.00      0.000     0.000     0.000     0.000       73   Psych::Visitors::ToRuby#register
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#read
  0.00      0.000     0.000     0.000     0.000        8   Module#attr_reader
  0.00      0.000     0.000     0.000     0.000        3   Module#remove_method
  0.00      0.000     0.000     0.000     0.000       22   Psych::Nodes::Sequence#initialize
  0.00     13.829     0.000     0.000    13.829        2   Global#[No method]
  0.00      0.000     0.000     0.000     0.000        1   <Class::Psych::Parser>#allocate
  0.00      0.000     0.000     0.000     0.000       93   Array#push
  0.00      0.000     0.000     0.000     0.000       48   Kernel#Integer
  0.00      0.000     0.000     0.000     0.000       22   Psych::TreeBuilder#start_sequence
  0.00      0.000     0.000     0.000     0.000       78   Kernel#hash
  0.00      0.000     0.000     0.000     0.000       48   String#count
  0.00      0.000     0.000     0.000     0.000       47   Class#inherited
  0.00      0.004     0.000     0.000     0.004        1   <Module::Ivan>#load_model
  0.00      0.000     0.000     0.000     0.000       24   Psych::TreeBuilder#pop
  0.00      0.000     0.000     0.000     0.000        1   <Module::Psych>#libyaml_version
  0.00      0.000     0.000     0.000     0.000        2   <Class::Struct>#new
  0.00      0.000     0.000     0.000     0.000       96   BasicObject#singleton_method_added
  0.00      0.000     0.000     0.000     0.000       74   Hash#empty?
  0.00      0.000     0.000     0.000     0.000       45   String#===
  0.00      0.000     0.000     0.000     0.000       74   Kernel#class
  0.00      0.000     0.000     0.000     0.000       47   Kernel#respond_to_missing?
  0.00      0.000     0.000     0.000     0.000       49   Fixnum#<
  0.00      0.000     0.000     0.000     0.000       25   Psych::TreeBuilder#push
  0.00      0.000     0.000     0.000     0.000       22   Psych::TreeBuilder#end_sequence
  0.00      0.002     0.000     0.000     0.002        1   Psych::Visitors::ToRuby#visit_Psych_Nodes_Mapping
  0.00      0.000     0.000     0.000     0.000       51   String#empty?
  0.00      0.000     0.000     0.000     0.000        4   Proc#yield
  0.00      0.000     0.000     0.000     0.000       25   Psych::Nodes::Node#initialize
  0.00      0.000     0.000     0.000     0.000        7   Hash#[]=
  0.00      0.001     0.000     0.000     0.001        1   TeensyVSender#post_initialize
  0.00      0.000     0.000     0.000     0.000       24   Array#pop
  0.00      0.000     0.000     0.000     0.000       50   Hash#key?
  0.00      0.000     0.000     0.000     0.000        9   Module#append_features
  0.00      0.001     0.000     0.000     0.001        1   <Class::SerialPort>#new
  0.00      0.000     0.000     0.000     0.000        1   YAML::EngineManager#yamler=
  0.00      0.000     0.000     0.000     0.000        5   Module#define_method
  0.00      0.000     0.000     0.000     0.000        1   Psych::TreeBuilder#start_stream
  0.00      0.000     0.000     0.000     0.000       10   Module#public
  0.00      0.000     0.000     0.000     0.000        1   Array#join
  0.00      0.000     0.000     0.000     0.000        1   Psych::Visitors::ToRuby#init_with
  0.00      0.000     0.000     0.000     0.000        1   Psych::Coder#initialize
  0.00      0.000     0.000     0.000     0.000        9   Module#include
  0.00      0.000     0.000     0.000     0.000        1   Psych::TreeBuilder#start_mapping
  0.00      0.002     0.000     0.000     0.002        1   <Module::Psych>#parse_stream
  0.00      0.000     0.000     0.000     0.000        3   Exception#initialize
  0.00      0.002     0.000     0.000     0.002       74  *Psych::Visitors::Visitor#visit
  0.00      0.000     0.000     0.000     0.000        1   Psych::Visitors::ToRuby#path2class
  0.00      0.000     0.000     0.000     0.000       11   Module#private
  0.00      0.002     0.000     0.000     0.002       22  *Psych::Visitors::ToRuby#visit_Psych_Nodes_Sequence
  0.00      0.000     0.000     0.000     0.000       24   Array#last
  0.00      0.000     0.000     0.000     0.000        1   Psych::Visitors::ToRuby#resolve_class
  0.00      0.000     0.000     0.000     0.000        1   Struct::Geometry#points=
  0.00      0.000     0.000     0.000     0.000        4   Module#name
  0.00      0.000     0.000     0.000     0.000        1   Psych::Visitors::ToRuby#initialize
  0.00      0.002     0.000     0.000     0.002        1   Psych::Nodes::Node#to_ruby
  0.00      0.000     0.000     0.000     0.000        4   Hash#default
  0.00      0.002     0.000     0.000     0.002        1   Psych::Visitors::ToRuby#visit_Psych_Nodes_Document
  0.00      0.000     0.000     0.000     0.000        3   Array#include?
  0.00      0.000     0.000     0.000     0.000        1   HasTransforms#has_transforms_for
  0.00      0.000     0.000     0.000     0.000        5   Hash#fetch
  0.00      0.000     0.000     0.000     0.000        2   Fixnum#div
  0.00      0.000     0.000     0.000     0.000        1   Psych::TreeBuilder#initialize
